date,symbol,open,close,gross_return_pct,net_return_pct,volume_ratio
2024-01-02,CYTK,84.37999725341797,84.12000274658203,-0.30812338859777094,-0.408123388597771,1.6251971094469884
2024-01-03,CYTK,83.48999786376953,86.63999938964844,3.7729088591171815,3.6729088591171815,1.1016240078059631
2024-01-04,SIDU,11.0,12.199999809265137,10.909089175137607,10.809089175137608,7.8081050897853554
2024-01-05,SIDU,12.170000076293945,13.039999961853027,7.148725391167112,7.048725391167112,1.9119719272326228
2024-01-08,DYN,18.09000015258789,18.030000686645508,-0.331672003517366,-0.431672003517366,3.086440024558448
2024-01-09,SIDU,15.699999809265137,16.969999313354492,8.089168914128795,7.989168914128795,1.3053155762058795
2024-01-10,SIDU,16.670000076293945,13.010000228881836,-21.95560786239538,-22.05560786239538,0.8693898384797407
2024-01-11,ARDX,8.989999771118164,8.720000267028809,-3.0033316013730365,-3.1033316013730365,1.33097716005267
2024-01-12,LAES,2.2899999618530273,2.259999990463257,-1.3100424405900453,-1.4100424405900454,8.055898595737682
2024-01-16,LAES,2.559999942779541,2.5999999046325684,1.5624985448084445,1.4624985448084444,1.3435040856539266
2024-01-17,LAES,2.5199999809265137,2.109999895095825,-16.269844798964886,-16.369844798964888,3.808019560852247
2024-01-18,SATS,17.6200008392334,17.219999313354492,-2.270156111390454,-2.370156111390454,0.8555657197278229
2024-01-19,DJT,25.950000762939453,26.3799991607666,1.6570265325049682,1.5570265325049681,4.536107718274385
2024-01-22,DJT,29.329999923706055,49.689998626708984,69.41697496066784,69.31697496066785,2.737919232015554
2024-01-23,DJT,49.47999954223633,50.75,2.5666945624758837,2.4666945624758836,8.606579501095617
2024-01-24,SGMT,18.09000015258789,16.229999542236328,-10.28192700200435,-10.38192700200435,0.9707900240649682
2024-01-25,SGMT,15.890000343322754,14.020000457763672,-11.768406829172207,-11.868406829172207,0.5179977875060277
2024-01-26,SGMT,12.869999885559082,10.670000076293945,-17.09401576400688,-17.19401576400688,0.5298644816648277
2024-01-29,VERA,29.850000381469727,33.63999938964844,12.696813935491488,12.596813935491488,3.397451279224359
2024-01-30,VERA,34.90999984741211,34.5099983215332,-1.1458078706023211,-1.2458078706023212,2.2714775129382607
2024-01-31,VERA,34.25,36.41999816894531,6.335761077212592,6.235761077212592,1.892598357576083
2024-02-01,VERA,36.5,38.0,4.10958904109589,4.00958904109589,1.0129548490310143
2024-02-02,POWL,38.68000030517578,40.970001220703125,5.920374605635455,5.820374605635456,2.0830316195993244
2024-02-05,POWL,41.27000045776367,42.51333236694336,3.012677236221821,2.9126772362218207,1.8660214728564948
